棕榈
紫菀
紫苏子
紫苏叶
紫苏梗
紫石英
自然铜
紫草
猪牙皂
朱砂根
朱砂
竹茹
猪苓
肿节风
栀子
枳实
枳壳
知母
赭石
珍珠母
浙贝母
泽泻
泽兰
皂角刺
玉竹
禹州漏芦
鱼腥草
郁李仁
郁金
余甘子
月季花
远志
芫花
益智
薏苡仁
淫羊藿
银杏叶
罂粟壳
茵陈
银柴胡
益母草
野菊花
延胡索
洋金花
鸦胆子
血竭
续断
徐长卿
玄参
玄明粉
旋覆花
西洋参
细辛
豨莶草
雄黄
辛夷
西红花
薤白
小蓟
小茴香
仙茅
仙鹤草
香橼
相思子
香薷
香加皮
香附
夏枯草
吴茱萸
乌药
五味子
乌梢蛇
乌梅
五加皮
蜈蚣
五倍子
威灵仙
委陵菜
王不留行
瓦楞子
菟丝子
土木香
土荆皮
土茯苓
土鳖虫
土贝母
通草
葶苈子
天竺黄
天仙子
天山雪莲
天南星
天麻
天葵子
天花粉
天冬
桃仁
檀香
太子参
锁阳
苏木
酸枣仁
丝瓜络
水蛭
水牛角
水红花子
水飞蓟
石韦
使君子
石决明
石斛
石膏
柿蒂
石菖蒲
麝香
蛇蜕
伸筋草
升麻
生姜
射干
蛇床子
砂仁
山茱萸
山楂叶
山楂
山银花
山药
山柰
山麦冬
商陆
山豆根
山慈菇
三七
三棱
桑枝
桑叶
桑椹
桑螵蛸
桑寄生
桑白皮
乳香
肉桂
肉豆蔻
肉苁蓉
人参
忍冬藤
瞿麦
全蝎
拳参
蕲蛇
秦皮
秦艽
青葙子
青皮
青礞石
青蒿
青果
青风藤
青黛
芡实
牵牛子
千年健
千金子
前胡
羌活
茜草
蒲黄
蒲公英
枇杷叶
平贝母
佩兰
胖大海
女贞子
牛膝
牛黄
牛蒡子
闹羊花
南五味子
南沙参
南鹤虱
南板蓝根
木贼
木香
木通
牡蛎
牡荆叶
木蝴蝶
木瓜
牡丹皮
木鳖子
没药
明党参
绵马贯众
绵萆薢
玫瑰花
马钱子
蔓荆子
芒硝
麦芽
麦冬
麻黄
马兜铃
马勃
鹿衔草
鹿茸
络石藤
罗汉果
罗布麻叶
路路通
芦荟
芦根
炉甘石
漏芦
龙眼肉
龙胆
灵芝
羚羊角
凌霄花
莲子心
莲子
连翘
两面针
老鹳草
狼毒
腊梅花
莱菔子
苦杏仁
苦参
昆布
苦楝皮
款冬花
菊花
决明子
卷柏
鸡血藤
九里香
韭菜子
鸡屎藤
金银花
金樱子
金荞麦
金钱草
金钱白花蛇
金礞石
荆芥
京大戟
鸡内金
蒺藜
鸡骨草
鸡冠花
芥子
桔梗
鸡蛋花
绞股蓝
降香
姜黄
僵蚕
虎杖
火麻仁
胡芦巴
槲寄生
胡椒
胡黄连
滑石
黄芩
黄芪
黄连
黄精
黄柏
化橘红
花椒
槐角
槐花
厚朴
红参
红芪
红景天
红花
红豆蔻
红大戟
诃子
荷叶
核桃仁
何首乌
鹤虱
合欢花
海藻
海螵蛸
海马
海金沙
谷芽
骨碎补
谷精草
桂枝
龟甲
关黄柏
广金钱草
广藿香
瓜蒌
钩藤
枸杞子
狗脊
枸骨叶
蛤壳
蛤蚧
葛根
高良姜
藁本
甘遂
甘松
干姜
甘草
附子
复盆子
茯苓
佛手
粉萆薢
枫香脂
粉葛
榧子
番泻叶
防己
防风
莪术
儿茶
阿胶
杜仲叶
杜仲
独活
豆蔻
冬葵果
冬虫夏草
地榆
丁香
地龙
地黄
地骨皮
地肤子
灯心草
大枣
大血藤
大青叶
稻芽
刀豆
淡竹叶
丹参
党参
当归
淡豆豉
大蓟
大黄
大腹皮
刺五加
磁石
楮实子
椿皮
垂盆草
川芎
穿心莲
川乌
川牛膝
川木香
川木通
川楝子
川贝母
茺蔚子
重楼
虫白蜡
赤小豆
赤芍
车前子
车前草
沉香
陈皮
蝉蜕
蟾酥
常山
柴胡
侧柏叶
草乌
草果
草豆蔻
苍术
苍耳子
补骨脂
薄荷
冰片
槟榔
蓖麻子
鳖甲
荜茇
北沙参
北豆根
菝葜
半夏
斑蝥
板蓝根
半边莲
巴戟天
八角茴香
柏子仁
白术
白芷
白鲜皮
白薇
白头翁
白芍
白前
白茅根
白蔹
白及
白花蛇舌草
百合
白果
白附子
白矾
百部
白扁豆
巴豆
阿魏
